Härryda,57.6833,12.3000
Hässleholm,56.1500,13.7667
Höganäs,56.2000,12.5500
Högsby,57.1667,16.0333
Hörby,55.8500,13.6500
Höör,55.9333,13.5500
Jokkmokk,66.6000,19.8333
Järfälla,59.4167,17.8333
Jönköping,57.7826,14.1618
Kalix,65.8500,23.1333
Kalmar,56.6667,16.3500
Karlsborg,58.5333,14.5167
Karlshamn,56.1667,14.8500
Karlskoga,59.3333,14.5167
Karlskrona,56.1667,15.5833
Karlstad,59.3833,13.5000
Katrineholm,59.0000,16.2000
Kil,59.5000,13.3167
Kinda,57.9333,15.6167
Kiruna,67.8500,20.2167
Klippan,56.1333,13.1333
Knivsta,59.7167,17.7833
Kramfors,62.9333,17.7833
Kristianstad,56.0333,14.1333
Kristinehamn,59.3167,14.1000
Krokom,63.3333,14.5000
Kumla,59.1333,15.1333
Kungsbacka,57.4833,12.0667
Kungsör,59.4167,16.1000
Kungälv,57.8667,11.9667
Kävlinge,55.7833,13.1000
Köping,59.5167,16.0000
Laholm,56.5167,13.0333
Landskrona,55.8667,12.8333
Laxå,58.9833,14.6167
Lekeberg,59.1833,14.8333
Leksand,60.7333,15.0000
Lerum,57.7667,12.2667
Lessebo,56.7500,15.2667
Lidingö,59.3667,18.1333
Lidköping,58.5000,13.1667
Lilla Edet,58.1333,12.1333
Lindesberg,59.5833,15.2333
Linköping,58.4108,15.6214
Ljungby,56.8333,13.9333
Ljusdal,61.8333,16.0833
Ljusnarsberg,59.9167,15.0000
Lomma,55.6833,13.0833
Ludvika,60.1500,15.1833
Luleå,65.5833,22.1500
Lund,55.7047,13.1910
Lycksele,64.6000,18.6667
Lysekil,58.2833,11.4333
Malmö,55.6050,13.0038
Malung-Sälen,60.6833,13.7167
Malå,65.1833,18.7500
Mariestad,58.7000,13.8167
Mark,57.5000,12.7000
Markaryd,56.4333,13.6000
Mellerud,58.7000,12.4500
Mjölby,58.3167,14.9667
Mora,61.0167,14.5333
Motala,58.5333,15.0333
Mullsjö,57.9167,13.8833
Munkedal,58.4667,11.6833
Mölndal,57.6500,12.0167
Mönsterås,57.0333,16.4500
Mörbylånga,56.5167,16.3833
Nacka,59.3167,18.1667
Nora,59.5167,15.0333
Norberg,60.0667,15.9333
Nordanstig,61.9833,17.0667
Nordmaling,63.5667,19.5000
Norrköping,58.5877,16.1924
Norrtälje,59.7667,18.7000
Norsjö,64.9167,19.4833
Nybro,56.7333,15.9000
Nykvarn,59.1833,17.4167
Nyköping,58.7500,17.0000
Nynäshamn,58.9000,17.9500
Nässjö,57.6500,14.6833
Ockelbo,60.8833,16.7167
Olofström,56.2667,14.5333
Orsa,61.1167,14.6167
Orust,58.2333,11.6833
Osby,56.3833,13.9833
Oskarshamn,57.2667,16.4500
Ovanåker,61.3667,15.8167
Oxelösund,58.6667,17.1000
Pajala,67.2000,23.3667
Partille,57.7333,12.1167
Perstorp,56.1333,13.3833
Piteå,65.3167,21.5000
Ragunda,63.1000,16.3500
Robertsfors,64.1833,20.8500
Ronneby,56.2000,15.2833
Rättvik,60.8833,15.1167
Sala,59.9167,16.6000
Salem,59.2000,17.7667
Sandviken,60.6167,16.7667
Sigtuna,59.6167,17.7167
Simrishamn,55.5500,14.3500
Sjöbo,55.6333,13.7000
Skara,58.3833,13.4333
Skellefteå,64.7500,20.9500
Skinnskatteberg,59.8333,15.6833
Skurup,55.4833,13.5000
Skövde,58.3833,13.8500
Smedjebacken,60.1333,15.4167
Sollefteå,63.1667,17.2667
Sollentuna,59.4333,17.9167
Solna,59.3667,18.0000
Sorsele,65.5333,17.5333
Sotenäs,58.3667,11.2500
Staffanstorp,55.6333,13.2000
Stenungsund,58.0833,11.8167
Stockholm,59.3293,18.0686
Storfors,59.5333,14.2667
Storuman,65.1000,17.1000
Strängnäs,59.3667,17.0333
Strömstad,58.9333,11.1833
Strömsund,63.8500,15.5500
Sundbyberg,59.3667,17.9667
Sundsvall,62.3908,17.3069
Sunne,59.8333,13.1333
Surahammar,59.7000,16.2167
Svalöv,55.8667,13.1000
Svedala,55.5000,13.2333
Svenljunga,57.5000,13.1000
Täby,59.4500,18.0667
Tingsryd,56.4167,14.9667
Tjörn,58.0000,11.6333
Tomelilla,55.5333,13.9500
Torsby,60.1333,13.0000
Torsås,56.4000,16.0000
Tranemo,57.4833,13.3500
Tranås,58.0333,14.9667
Trelleborg,55.3667,13.1667
Trollhättan,58.2833,12.2833
Trosa,58.9000,17.5500
Tyresö,59.2333,18.3000
Täby,59.4500,18.0667
Töreboda,58.7000,14.1167
Uddevalla,58.3500,11.9167
Ulricehamn,57.7833,13.4167
Umeå,63.8258,20.2630
Upplands-Bro,59.5167,17.6500
Upplands Väsby,59.5167,17.9167
Uppsala,59.8586,17.6389
Uppvidinge,57.1500,15.3333
Vadstena,58.4500,14.9000
Vaggeryd,57.5000,14.1333
Valdemarsvik,58.2000,16.6000
Vallentuna,59.5333,18.0833
Vansbro,60.5167,14.2167
Vara,58.2667,13.0167
Varberg,57.1000,12.2500
Vaxholm,59.4000,18.3167
Vellinge,55.4667,13.0167
Vetlanda,57.4167,15.0667
Vilhelmina,64.6167,16.6500
Vimmerby,57.6667,15.8500
Vindeln,64.2000,19.7167
Vingåker,59.0333,15.8667
Vårgårda,58.0333,12.8000
Vänersborg,58.3667,12.3167
Vännäs,63.9000,19.7500
Värmdö,59.3167,18.5000
Värnamo,57.1833,14.0333
Västervik,57.7500,16.6333
Västerås,59.6091,16.5445
Växjö,56.8833,14.8000
Ydre,57.8667,15.2667
Ystad,55.4167,13.8167
Åmål,59.0500,12.7000
Ånge,62.5167,15.6500
Åre,63.3833,13.0833
Årjäng,59.3833,12.1333
Åsele,64.1667,17.3000
Åstorp,56.1333,12.9333
Åtvidaberg,58.2000,16.0000
Älmhult,56.5500,14.1333
Älvdalen,61.2333,14.0333
Älvkarleby,60.5667,17.4333
Älvsbyn,65.6667,21.0000
Ängelholm,56.2500,12.8500
Öckerö,57.7167,11.6500
Ödeshög,58.2333,14.6500
Örebro,59.2741,15.2066
Örkelljunga,56.2833,13.2833
Örnsköldsvik,63.3000,18.7000
Östersund,63.1833,14.6333
Österåker,59.5000,18.3000
Östhammar,60.2667,18.3667
